id,gid,x,y,v_x,v_y,radius,time
0,0,7.993440,0.000003,-0.131209,0.000059,0.500000,0.050000
1,1,5.652750,5.652750,-0.081995,-0.081990,0.500000,0.050000
2,2,0.000001,7.993181,0.000020,-0.136383,0.500000,0.050000
3,3,-5.652176,5.652175,0.093478,-0.093507,0.500000,0.050000
4,4,-7.994098,-0.000001,0.118031,-0.000000,0.500000,0.050000
5,5,-5.652083,-5.652098,0.095344,0.095242,0.500000,0.050000
6,6,0.000000,-7.993088,0.000004,0.138248,0.500000,0.050000
7,7,5.652678,-5.652664,-0.083638,0.083725,0.500000,0.050000
0,0,7.980978,0.000010,-0.249233,0.000150,0.500000,0.100000
1,1,5.644968,5.644966,-0.155648,-0.155684,0.500000,0.100000
2,2,0.000006,7.980230,0.000099,-0.259027,0.500000,0.100000
3,3,-5.643298,5.643296,0.177564,-0.177577,0.500000,0.100000
4,4,-7.982890,-0.000002,0.224161,-0.000035,0.500000,0.100000
5,5,-5.643027,-5.643050,0.181120,0.180953,0.500000,0.100000
6,6,0.000005,-7.979961,0.000086,0.262541,0.500000,0.100000
7,7,5.644734,-5.644714,-0.158881,0.159004,0.500000,0.100000
0,0,7.963208,0.000023,-0.355389,0.000254,0.500000,0.150000
1,1,5.633872,5.633870,-0.221924,-0.221931,0.500000,0.150000
2,2,0.000019,7.961762,0.000268,-0.369357,0.500000,0.150000
3,3,-5.630644,5.630638,0.253075,-0.253148,0.500000,0.150000
4,4,-7.966914,-0.000006,0.319536,-0.000069,0.500000,0.150000
5,5,-5.630113,-5.630153,0.258268,0.257935,0.500000,0.150000
6,6,0.000013,-7.961247,0.000164,0.374263,0.500000,0.150000
7,7,5.633412,-5.633379,-0.226436,0.226689,0.500000,0.150000
0,0,7.940667,0.000031,-0.450820,0.000160,0.500000,0.200000
1,1,5.619808,5.619799,-0.281268,-0.281407,0.500000,0.200000
2,2,0.000036,7.938329,0.000341,-0.468647,0.500000,0.200000
3,3,-5.614592,5.614589,0.321048,-0.320999,0.500000,0.200000
4,4,-7.946656,-0.000010,0.405152,-0.000075,0.500000,0.200000
5,5,-5.613739,-5.613786,0.327490,0.327358,0.500000,0.200000
6,6,0.000014,-7.937511,0.000031,0.474729,0.500000,0.200000
7,7,5.619057,-5.619001,-0.287098,0.287554,0.500000,0.200000
0,0,7.913842,0.000046,-0.536503,0.000297,0.500000,0.250000
1,1,5.603063,5.603049,-0.334910,-0.335014,0.500000,0.250000
2,2,0.000055,7.910435,0.000383,-0.557877,0.500000,0.250000
3,3,-5.595475,5.595494,0.382339,-0.381884,0.500000,0.250000
4,4,-7.922545,-0.000012,0.482213,-0.000038,0.500000,0.250000
5,5,-5.594255,-5.594308,0.389669,0.389561,0.500000,0.250000
6,6,0.000021,-7.909261,0.000133,0.565009,0.500000,0.250000
7,7,5.601975,-5.601896,-0.341641,0.342105,0.500000,0.250000
0,0,7.883157,0.000056,-0.613705,0.000203,0.500000,0.300000
1,1,5.583924,5.583901,-0.382778,-0.382955,0.500000,0.300000
2,2,0.000078,7.878538,0.000464,-0.637956,0.500000,0.300000
3,3,-5.573611,5.573662,0.437268,-0.436645,0.500000,0.300000
4,4,-7.894990,-0.000006,0.551101,0.000110,0.500000,0.300000
5,5,-5.571967,-5.572030,0.445772,0.445553,0.500000,0.300000
6,6,0.000033,-7.876962,0.000240,0.645972,0.500000,0.300000
7,7,5.582443,-5.582341,-0.390652,0.391099,0.500000,0.300000
0,0,7.849018,0.000072,-0.682781,0.000323,0.500000,0.350000
1,1,5.562631,5.562609,-0.425862,-0.425835,0.500000,0.350000
2,2,0.000105,7.843043,0.000536,-0.709892,0.500000,0.350000
3,3,-5.549268,5.549351,0.486869,-0.486220,0.500000,0.350000
4,4,-7.864332,-0.000014,0.613174,-0.000154,0.500000,0.350000
5,5,-5.547166,-5.547224,0.496018,0.496117,0.500000,0.350000
6,6,0.000051,-7.841023,0.000368,0.718782,0.500000,0.350000
7,7,5.560717,-5.560597,-0.434511,0.434878,0.500000,0.350000
0,0,7.811759,0.000087,-0.745176,0.000297,0.500000,0.400000
1,1,5.539409,5.539386,-0.464427,-0.464466,0.500000,0.400000
2,2,0.000138,7.804313,0.000658,-0.774597,0.500000,0.400000
3,3,-5.522719,5.522815,0.530971,-0.530723,0.500000,0.400000
4,4,-7.830899,-0.000034,0.668659,-0.000406,0.500000,0.400000
5,5,-5.520108,-5.520177,0.541156,0.540946,0.500000,0.400000
6,6,0.000064,-7.801807,0.000251,0.784318,0.500000,0.400000
7,7,5.537017,-5.536877,-0.473994,0.474406,0.500000,0.400000
0,0,7.771711,0.000111,-0.800960,0.000476,0.500000,0.450000
1,1,5.514457,5.514424,-0.499053,-0.499234,0.500000,0.450000
2,2,0.000188,7.762671,0.001004,-0.832849,0.500000,0.450000
3,3,-5.494181,5.494284,0.570770,-0.570616,0.500000,0.450000
4,4,-7.794957,-0.000049,0.718828,-0.000290,0.500000,0.450000
5,5,-5.491040,-5.491101,0.581355,0.581511,0.500000,0.450000
6,6,0.000083,-7.759645,0.000388,0.843245,0.500000,0.450000
7,7,5.511554,-5.511381,-0.509269,0.509929,0.500000,0.450000
0,0,7.729120,0.000146,-0.851828,0.000702,0.500000,0.500000
1,1,5.487962,5.487923,-0.529896,-0.530018,0.500000,0.500000
2,2,0.000230,7.718404,0.000831,-0.885327,0.500000,0.500000
3,3,-5.463850,5.463955,0.606620,-0.606573,0.500000,0.500000
4,4,-7.756787,-0.000078,0.763403,-0.000593,0.500000,0.500000
5,5,-5.460152,-5.460201,0.617767,0.618002,0.500000,0.500000
6,6,0.000101,-7.714829,0.000349,0.896319,0.500000,0.500000
7,7,5.484504,-5.484302,-0.540991,0.541571,0.500000,0.500000
0,0,7.684273,0.000161,-0.896929,0.000296,0.500000,0.550000
1,1,5.460099,5.460026,-0.557263,-0.557947,0.500000,0.550000
2,2,0.000277,7.671789,0.000947,-0.932319,0.500000,0.550000
3,3,-5.431924,5.432017,0.638518,-0.638763,0.500000,0.550000
4,4,-7.716622,-0.000117,0.803308,-0.000782,0.500000,0.550000
5,5,-5.427601,-5.427648,0.651019,0.651053,0.500000,0.550000
6,6,0.000117,-7.667622,0.000329,0.944133,0.500000,0.550000
7,7,5.456031,-5.455805,-0.569469,0.569950,0.500000,0.550000
0,0,7.637388,0.000175,-0.937704,0.000282,0.500000,0.600000
1,1,5.430987,5.430893,-0.582237,-0.582660,0.500000,0.600000
2,2,0.000313,7.623050,0.000724,-0.974779,0.500000,0.600000
3,3,-5.398576,5.398648,0.666965,-0.667394,0.500000,0.600000
4,4,-7.674660,-0.000159,0.839224,-0.000827,0.500000,0.600000
5,5,-5.393567,-5.393609,0.680674,0.680794,0.500000,0.600000
6,6,0.000155,-7.618263,0.000746,0.987183,0.500000,0.600000
7,7,5.426297,-5.426053,-0.594677,0.595038,0.500000,0.600000
0,0,7.588652,0.000188,-0.974715,0.000268,0.500000,0.650000
1,1,5.400745,5.400629,-0.604846,-0.605273,0.500000,0.650000
2,2,0.000366,7.572421,0.001056,-1.012579,0.500000,0.650000
3,3,-5.363919,5.364007,0.693127,-0.692808,0.500000,0.650000
4,4,-7.631083,-0.000202,0.871539,-0.000870,0.500000,0.650000
5,5,-5.358210,-5.358256,0.707155,0.707046,0.500000,0.650000
6,6,0.000189,-7.566975,0.000682,1.025764,0.500000,0.650000
7,7,5.395433,-5.395167,-0.617285,0.617707,0.500000,0.650000
