id,gid,x,y,v_x,v_y,radius,time
0,0,10.158616,0.356502,-0.149671,0.027954,0.200000,0.050000
1,0,12.539906,0.591233,-0.169883,-0.005875,0.200000,0.050000
2,0,7.328617,-0.118137,0.131533,0.076885,0.200000,0.050000
3,0,6.782936,-0.865378,-0.432071,-0.500000,0.200000,0.050000
4,0,8.831235,0.704611,-0.076291,0.091971,0.200000,0.050000
5,0,5.248660,0.514142,0.500000,-0.409219,0.200000,0.050000
6,0,13.692263,-1.054238,-0.064739,-0.088158,0.200000,0.050000
7,0,10.854900,-0.170834,-0.102009,-0.019778,0.200000,0.050000
8,0,13.302884,-0.532774,-0.200330,0.093337,0.200000,0.050000
9,0,8.022053,-0.224301,-0.149932,-0.073545,0.200000,0.050000
10,0,6.884747,0.240438,0.428934,0.418008,0.200000,0.050000
11,0,14.754652,-0.690937,-0.124955,0.006216,0.200000,0.050000
12,0,13.394226,0.572315,-0.313477,-0.463783,0.200000,0.050000
13,0,8.522669,0.131012,-0.072621,-0.015478,0.200000,0.050000
14,0,6.800818,-0.389901,-0.230443,0.500000,0.200000,0.050000
15,0,13.616803,1.043750,0.094061,0.458207,0.200000,0.050000
16,0,6.420660,0.042166,-0.500000,-0.156414,0.200000,0.050000
17,0,6.772791,0.888901,-0.132578,0.120089,0.200000,0.050000
18,0,9.491737,-0.438064,-0.133861,-0.008457,0.200000,0.050000
19,0,7.341905,-0.846767,0.192309,-0.147533,0.200000,0.050000
20,1,7.298880,7.706970,-0.023810,-0.127801,0.200000,0.050000
21,1,8.364963,-4.201429,-0.022747,-0.125577,0.200000,0.050000
22,1,7.111531,2.329550,-0.001176,-0.129995,0.200000,0.050000
23,1,9.086453,-3.082913,-0.037542,-0.124461,0.200000,0.050000
24,1,5.310845,5.483508,0.014099,-0.129233,0.200000,0.050000
25,1,8.411736,-2.035580,-0.022689,-0.128005,0.200000,0.050000
26,1,6.822040,6.561810,0.001397,-0.129992,0.200000,0.050000
27,1,5.171233,1.226207,0.084252,0.059548,0.200000,0.050000
