id,gid,x,y,v_x,v_y,radius,time
0,0,10.158604,0.360895,-0.149921,0.115826,0.200000,0.050000
1,0,12.534379,0.592065,-0.280428,0.010758,0.200000,0.050000
2,0,7.347040,-0.115725,0.500000,0.125127,0.200000,0.050000
3,0,6.779540,-0.865378,-0.500000,-0.500000,0.200000,0.050000
4,0,8.838533,0.719041,0.069650,0.380583,0.200000,0.050000
5,0,5.248660,0.509603,0.500000,-0.500000,0.200000,0.050000
6,0,13.698306,-1.067018,0.056129,-0.343755,0.200000,0.050000
7,0,10.859700,-0.173234,-0.005992,-0.067777,0.200000,0.050000
8,0,13.294418,-0.525114,-0.369647,0.246531,0.200000,0.050000
9,0,8.016947,-0.235498,-0.252064,-0.297471,0.200000,0.050000
10,0,6.888300,0.244538,0.500000,0.500000,0.200000,0.050000
11,0,14.758556,-0.691649,-0.046888,-0.008022,0.200000,0.050000
12,0,13.384900,0.570504,-0.500000,-0.500000,0.200000,0.050000
13,0,8.535409,0.132730,0.182173,0.018872,0.200000,0.050000
14,0,6.799499,-0.389901,-0.256815,0.500000,0.200000,0.050000
15,0,13.637100,1.045840,0.500000,0.500000,0.200000,0.050000
16,0,6.420660,0.024987,-0.500000,-0.500000,0.200000,0.050000
17,0,6.771533,0.906467,-0.157734,0.471408,0.200000,0.050000
18,0,9.494044,-0.441788,-0.087719,-0.082943,0.200000,0.050000
19,0,7.357290,-0.864390,0.500000,-0.500000,0.200000,0.050000
20,1,7.300047,7.707897,-0.000463,-0.109266,0.200000,0.050000
21,1,8.366808,-4.202693,0.014165,-0.150866,0.200000,0.050000
22,1,7.112207,2.330093,0.012348,-0.119149,0.200000,0.050000
23,1,9.088751,-3.083519,0.008426,-0.136581,0.200000,0.050000
24,1,5.310105,5.482539,-0.000697,-0.148610,0.200000,0.050000
25,1,8.411954,-2.036962,-0.018322,-0.155632,0.200000,0.050000
26,1,6.822144,6.561515,0.003482,-0.135897,0.200000,0.050000
27,1,5.179181,1.246805,0.243216,0.471500,0.200000,0.050000
28,1,4.807582,3.018762,-0.039354,-0.080162,0.200000,0.050000
29,1,4.787470,0.734054,-0.500000,0.500000,0.200000,0.050000
30,1,7.600610,3.440613,-0.050401,-0.125545,0.200000,0.050000
31,1,7.272854,-4.352257,-0.059124,-0.146145,0.200000,0.050000
32,1,5.645858,2.235375,0.022566,-0.085701,0.200000,0.050000
33,1,7.976602,5.359571,-0.014360,-0.090788,0.200000,0.050000
34,1,4.926380,6.631674,-0.014803,-0.092515,0.200000,0.050000
35,1,9.206626,3.768516,0.445914,-0.323285,0.200000,0.050000
36,1,6.196638,4.201896,0.002956,-0.128490,0.200000,0.050000
37,1,8.533334,3.857673,-0.387727,-0.099132,0.200000,0.050000
38,1,9.144483,4.634376,0.063457,0.050316,0.200000,0.050000
39,1,6.798103,8.864364,-0.016136,-0.082725,0.200000,0.050000
0,0,10.152140,0.362894,-0.129280,0.039980,0.200000,0.100000
1,0,12.515424,0.594882,-0.379099,0.056339,0.200000,0.100000
2,0,7.347040,-0.090903,0.000000,0.496426,0.200000,0.100000
3,0,6.752587,-0.891544,-0.539059,-0.523327,0.200000,0.100000
4,0,8.832159,0.742742,-0.127463,0.474025,0.200000,0.100000
5,0,5.254170,0.490272,0.110201,-0.386619,0.200000,0.100000
6,0,13.694396,-1.082106,-0.078215,-0.301768,0.200000,0.100000
7,0,10.853763,-0.178657,-0.118749,-0.108455,0.200000,0.100000
8,0,13.273937,-0.523750,-0.409607,0.027287,0.200000,0.100000
9,0,8.029344,-0.269310,0.247936,-0.676243,0.200000,0.100000
10,0,6.903293,0.266456,0.299867,0.438367,0.200000,0.100000
11,0,14.750078,-0.691823,-0.169555,-0.003473,0.200000,0.100000
12,0,13.357839,0.554803,-0.541221,-0.314014,0.200000,0.100000
13,0,8.536174,0.136220,0.015304,0.069809,0.200000,0.100000
14,0,6.811659,-0.389901,0.243185,0.000000,0.200000,0.100000
15,0,13.653111,1.067976,0.320230,0.442718,0.200000,0.100000
16,0,6.370660,0.024987,-1.000000,0.000000,0.200000,0.100000
17,0,6.759146,0.923185,-0.247742,0.334346,0.200000,0.100000
18,0,9.486194,-0.450855,-0.156997,-0.181338,0.200000,0.100000
19,0,7.372346,-0.884226,0.301122,-0.396719,0.200000,0.100000
20,1,7.299969,7.697487,-0.001552,-0.208197,0.200000,0.100000
21,1,8.366855,-4.217566,0.000940,-0.297461,0.200000,0.100000
22,1,7.114598,2.318952,0.047812,-0.222808,0.200000,0.100000
23,1,9.089566,-3.096646,0.016288,-0.262546,0.200000,0.100000
24,1,5.309611,5.468978,-0.009881,-0.271221,0.200000,0.100000
25,1,8.411554,-2.051592,-0.007994,-0.292599,0.200000,0.100000
26,1,6.821987,6.548821,-0.003146,-0.253875,0.200000,0.100000
27,1,5.185702,1.255631,0.130425,0.176524,0.200000,0.100000
28,1,4.803194,3.009582,-0.087776,-0.183607,0.200000,0.100000
29,1,4.766259,0.750191,-0.424215,0.322735,0.200000,0.100000
30,1,7.596039,3.427646,-0.091411,-0.259331,0.200000,0.100000
31,1,7.267551,-4.365715,-0.106052,-0.269152,0.200000,0.100000
32,1,5.647692,2.230096,0.036666,-0.105577,0.200000,0.100000
33,1,7.975916,5.349352,-0.013726,-0.204367,0.200000,0.100000
34,1,4.925415,6.623049,-0.019305,-0.172497,0.200000,0.100000
35,1,9.225696,3.748069,0.381413,-0.408934,0.200000,0.100000
36,1,6.196304,4.191159,-0.006671,-0.214736,0.200000,0.100000
37,1,8.521060,3.850330,-0.245474,-0.146871,0.200000,0.100000
38,1,9.148193,4.630333,0.074210,-0.080849,0.200000,0.100000
39,1,6.796855,8.855902,-0.024969,-0.169235,0.200000,0.100000
