id,gid,x,y,v_x,v_y,radius,time
0,0,-8.993500,-1.001500,0.130000,-0.030000,0.750000,0.050000
1,0,-8.993500,1.001500,0.130000,0.030000,0.750000,0.050000
2,1,-0.006500,0.000000,-0.130000,0.000000,0.750000,0.050000
0,0,-8.981150,-1.003133,0.247000,-0.032655,0.750000,0.100000
1,0,-8.981150,1.003133,0.247000,0.032655,0.750000,0.100000
2,1,-0.018850,0.000000,-0.247000,0.000000,0.750000,0.100000
0,0,-8.963535,-1.004762,0.352300,-0.032576,0.750000,0.150000
1,0,-8.963535,1.004762,0.352300,0.032576,0.750000,0.150000
2,1,-0.036465,0.000000,-0.352300,0.000000,0.750000,0.150000
0,0,-8.941182,-1.006372,0.447070,-0.032215,0.750000,0.200000
1,0,-8.941182,1.006372,0.447070,0.032215,0.750000,0.200000
2,1,-0.058818,0.000000,-0.447070,0.000000,0.750000,0.200000
0,0,-8.914563,-1.007964,0.532363,-0.031827,0.750000,0.250000
1,0,-8.914563,1.007964,0.532363,0.031827,0.750000,0.250000
2,1,-0.085437,0.000000,-0.532363,0.000000,0.750000,0.250000
0,0,-8.884107,-1.009536,0.609127,-0.031441,0.750000,0.300000
1,0,-8.884107,1.009536,0.609127,0.031441,0.750000,0.300000
2,1,-0.115893,0.000000,-0.609127,0.000000,0.750000,0.300000
0,0,-8.850196,-1.011089,0.678214,-0.031060,0.750000,0.350000
1,0,-8.850196,1.011089,0.678214,0.031060,0.750000,0.350000
2,1,-0.149804,0.000000,-0.678214,0.000000,0.750000,0.350000
0,0,-8.813177,-1.012623,0.740393,-0.030683,0.750000,0.400000
1,0,-8.813177,1.012623,0.740393,0.030683,0.750000,0.400000
2,1,-0.186823,0.000000,-0.740393,0.000000,0.750000,0.400000
0,0,-8.773359,-1.014138,0.796353,-0.030311,0.750000,0.450000
1,0,-8.773359,1.014138,0.796353,0.030311,0.750000,0.450000
2,1,-0.226641,0.000000,-0.796353,0.000000,0.750000,0.450000
0,0,-8.731023,-1.015636,0.846718,-0.029943,0.750000,0.500000
1,0,-8.731023,1.015636,0.846718,0.029943,0.750000,0.500000
2,1,-0.268977,0.000000,-0.846718,0.000000,0.750000,0.500000
0,0,-8.686513,-1.017168,0.890198,-0.030644,0.750000,0.550000
1,0,-8.686513,1.017168,0.890198,0.030644,0.750000,0.550000
2,1,-0.313394,0.000106,-0.888350,0.002126,0.750000,0.550000
0,0,-8.640173,-1.018766,0.926814,-0.031963,0.750000,0.600000
1,0,-8.640177,1.018766,0.926733,0.031963,0.750000,0.600000
2,1,-0.359430,0.000202,-0.920706,0.001912,0.750000,0.600000
0,0,-8.592295,-1.020428,0.957553,-0.033243,0.750000,0.650000
1,0,-8.592307,1.020427,0.957397,0.033229,0.750000,0.650000
2,1,-0.406699,0.000289,-0.945394,0.001734,0.750000,0.650000
0,0,-8.543131,-1.022179,0.983274,-0.035025,0.750000,0.700000
1,0,-8.543154,1.022177,0.983049,0.034988,0.750000,0.700000
2,1,-0.454885,0.000368,-0.963722,0.001582,0.750000,0.700000
0,0,-8.492895,-1.024068,1.004715,-0.037784,0.750000,0.750000
1,0,-8.492933,1.024063,1.004428,0.037718,0.750000,0.750000
2,1,-0.503726,0.000440,-0.976803,0.001453,0.750000,0.750000
0,0,-8.441769,-1.026136,1.022522,-0.041341,0.750000,0.800000
1,0,-8.441824,1.026125,1.022178,0.041244,0.750000,0.800000
2,1,-0.553005,0.000507,-0.985593,0.001342,0.750000,0.800000
0,0,-8.389907,-1.028413,1.037240,-0.045554,0.750000,0.850000
1,0,-8.389982,1.028396,1.036844,0.045425,0.750000,0.850000
2,1,-0.602550,0.000570,-0.990889,0.001246,0.750000,0.850000
0,0,-8.337440,-1.030929,1.049336,-0.050307,0.750000,0.900000
1,0,-8.337537,1.030903,1.048892,0.050145,0.750000,0.900000
2,1,-0.652217,0.000628,-0.993352,0.001162,0.750000,0.900000
0,0,-8.284480,-1.033704,1.059205,-0.055507,0.750000,0.950000
1,0,-8.284601,1.033669,1.058716,0.055313,0.750000,0.950000
2,1,-0.701894,0.000682,-0.993533,0.001089,0.750000,0.950000
0,0,-8.231121,-1.036758,1.067184,-0.061079,0.750000,1.000000
1,0,-8.231269,1.036712,1.066652,0.060855,0.750000,1.000000
2,1,-0.751488,0.000734,-0.991887,0.001025,0.750000,1.000000
0,0,-8.177443,-1.040106,1.073560,-0.066967,0.750000,1.050000
1,0,-8.177619,1.040047,1.072987,0.066712,0.750000,1.050000
2,1,-0.800928,0.000782,-0.988794,0.000969,0.750000,1.050000
0,0,-8.123514,-1.043762,1.078578,-0.073123,0.750000,1.100000
1,0,-8.123721,1.043689,1.077966,0.072840,0.750000,1.100000
2,1,-0.850156,0.000828,-0.984567,0.000920,0.750000,1.100000
0,0,-8.069392,-1.047738,1.082449,-0.079513,0.750000,1.150000
1,0,-8.069631,1.047649,1.081797,0.079202,0.750000,1.150000
2,1,-0.899130,0.000872,-0.979468,0.000877,0.750000,1.150000
0,0,-8.015124,-1.052043,1.085353,-0.086109,0.750000,1.200000
1,0,-8.015398,1.051938,1.084661,0.085773,0.750000,1.200000
2,1,-0.947815,0.000914,-0.973715,0.000839,0.750000,1.200000
0,0,-7.960752,-1.056688,1.087445,-0.092894,0.750000,1.250000
1,0,-7.961063,1.056565,1.086713,0.092533,0.750000,1.250000
2,1,-0.996190,0.000954,-0.967490,0.000806,0.750000,1.250000
0,0,-7.906309,-1.061681,1.088860,-0.099853,0.750000,1.300000
1,0,-7.906658,1.061538,1.088087,0.099469,0.750000,1.300000
2,1,-1.044237,0.000993,-0.960947,0.000778,0.750000,1.300000
0,0,-7.851823,-1.067030,1.089715,-0.106980,0.750000,1.350000
1,0,-7.852213,1.066867,1.088899,0.106574,0.750000,1.350000
2,1,-1.091948,0.001031,-0.954215,0.000753,0.750000,1.350000
0,0,-7.797318,-1.072743,1.090112,-0.114270,0.750000,1.400000
1,0,-7.797751,1.072559,1.089251,0.113844,0.750000,1.400000
2,1,-1.139318,0.001067,-0.947407,0.000731,0.750000,1.400000
0,0,-7.742810,-1.078830,1.090144,-0.121725,0.750000,1.450000
1,0,-7.743289,1.078623,1.089235,0.121280,0.750000,1.450000
2,1,-1.186349,0.001103,-0.940621,0.000712,0.750000,1.450000
0,0,-7.688316,-1.085297,1.089891,-0.129348,0.750000,1.500000
1,0,-7.688842,1.085067,1.088931,0.128884,0.750000,1.500000
2,1,-1.233047,0.001138,-0.933942,0.000695,0.750000,1.500000
0,0,-7.633844,-1.092154,1.089427,-0.137144,0.750000,1.550000
1,0,-7.634422,1.091900,1.088413,0.136664,0.750000,1.550000
2,1,-1.279419,0.001172,-0.927451,0.000680,0.750000,1.550000
0,0,-7.579403,-1.099410,1.088820,-0.145122,0.750000,1.600000
1,0,-7.580034,1.099132,1.087748,0.144628,0.750000,1.600000
2,1,-1.325480,0.001205,-0.921222,0.000666,0.750000,1.600000
0,0,-7.524997,-1.107075,1.088135,-0.153293,0.750000,1.650000
1,0,-7.525684,1.106771,1.087000,0.152785,0.750000,1.650000
2,1,-1.371247,0.001238,-0.915329,0.000654,0.750000,1.650000
0,0,-7.470625,-1.115158,1.087434,-0.161666,0.750000,1.700000
1,0,-7.471373,1.114828,1.086229,0.161147,0.750000,1.700000
2,1,-1.416739,0.001270,-0.909843,0.000642,0.750000,1.700000
0,0,-7.416286,-1.123671,1.086775,-0.170256,0.750000,1.750000
1,0,-7.417098,1.123315,1.085497,0.169728,0.750000,1.750000
2,1,-1.461981,0.001301,-0.904840,0.000630,0.750000,1.750000
0,0,-7.361975,-1.132625,1.086221,-0.179076,0.750000,1.800000
1,0,-7.362855,1.132242,1.084863,0.178542,0.750000,1.800000
2,1,-1.507001,0.001332,-0.900402,0.000617,0.750000,1.800000
0,0,-7.307684,-1.142032,1.085833,-0.188140,0.750000,1.850000
1,0,-7.308636,1.141622,1.084389,0.187603,0.750000,1.850000
2,1,-1.551832,0.001362,-0.896617,0.000603,0.750000,1.850000
0,0,-7.253400,-1.151905,1.085680,-0.197463,0.750000,1.900000
1,0,-7.254429,1.151468,1.084140,0.196927,0.750000,1.900000
2,1,-1.596511,0.001391,-0.893586,0.000586,0.750000,1.900000
0,0,-7.199108,-1.162258,1.085832,-0.207060,0.750000,1.950000
1,0,-7.200219,1.161795,1.084190,0.206529,0.750000,1.950000
2,1,-1.641082,0.001420,-0.891423,0.000567,0.750000,1.950000
0,0,-7.144789,-1.173105,1.086372,-0.216942,0.750000,2.000000
1,0,-7.145988,1.172616,1.084619,0.216422,0.750000,2.000000
2,1,-1.685595,0.001447,-0.890264,0.000544,0.750000,2.000000
0,0,-7.090420,-1.184461,1.087392,-0.227120,0.750000,2.050000
1,0,-7.091712,1.183947,1.085518,0.226618,0.750000,2.050000
2,1,-1.730109,0.001473,-0.890271,0.000514,0.750000,2.050000
0,0,-7.035970,-1.196341,1.089004,-0.237600,0.750000,2.100000
1,0,-7.037362,1.195803,1.086998,0.237123,0.750000,2.100000
2,1,-1.774691,0.001497,-0.891644,0.000478,0.750000,2.100000
0,0,-6.981402,-1.208760,1.091342,-0.248378,0.750000,2.150000
1,0,-6.982903,1.208200,1.089192,0.247939,0.750000,2.150000
2,1,-1.819423,0.001518,-0.894632,0.000432,0.750000,2.150000
0,0,-6.926673,-1.221732,1.094578,-0.259439,0.750000,2.200000
1,0,-6.928289,1.221152,1.092270,0.259050,0.750000,2.200000
2,1,-1.864401,0.001537,-0.899558,0.000373,0.750000,2.200000
0,0,-6.871727,-1.235269,1.098939,-0.270736,0.750000,2.250000
1,0,-6.873466,1.234673,1.096456,0.270415,0.750000,2.250000
2,1,-1.909743,0.001552,-0.906858,0.000297,0.750000,2.250000
0,0,-6.816489,-1.249377,1.104748,-0.282170,0.750000,2.300000
1,0,-6.818363,1.248770,1.102068,0.281945,0.750000,2.300000
2,1,-1.955602,0.001561,-0.917162,0.000195,0.750000,2.300000
0,0,-6.760863,-1.264053,1.112527,-0.293512,0.750000,2.350000
1,0,-6.762882,1.263442,1.109613,0.293426,0.750000,2.350000
2,1,-2.002176,0.001564,-0.931484,0.000050,0.750000,2.350000
0,0,-6.704693,-1.279256,1.123401,-0.304073,0.750000,2.400000
1,0,-6.706875,1.278654,1.120141,0.304242,0.750000,2.400000
2,1,-2.049775,0.001553,-0.951987,-0.000212,0.750000,2.400000
0,0,-6.647641,-1.292824,1.141040,-0.271354,0.750000,2.450000
1,0,-6.649970,1.292229,1.138107,0.271512,0.750000,2.450000
2,1,-2.099115,0.001543,-0.986789,-0.000205,0.750000,2.450000
0,0,-6.590547,-1.307579,1.141876,-0.295091,0.750000,2.500000
1,0,-6.593022,1.306989,1.138951,0.295195,0.750000,2.500000
2,1,-2.148502,0.001535,-0.987750,-0.000156,0.750000,2.500000
0,0,-6.532664,-1.320730,1.157663,-0.263018,0.750000,2.550000
1,0,-6.535271,1.320145,1.155031,0.263116,0.750000,2.550000
2,1,-2.199451,0.001528,-1.018975,-0.000154,0.750000,2.550000
0,0,-6.474914,-1.335485,1.155003,-0.295111,0.750000,2.600000
1,0,-6.477659,1.334905,1.152234,0.295202,0.750000,2.600000
2,1,-2.250098,0.001520,-1.012946,-0.000150,0.750000,2.600000
0,0,-6.416440,-1.348624,1.169472,-0.262783,0.750000,2.650000
1,0,-6.419310,1.348049,1.166980,0.262870,0.750000,2.650000
2,1,-2.302181,0.001513,-1.041651,-0.000149,0.750000,2.650000
0,0,-6.358074,-1.363676,1.167320,-0.301030,0.750000,2.700000
1,0,-6.361085,1.363109,1.164510,0.301202,0.750000,2.700000
2,1,-2.354009,0.001501,-1.036574,-0.000237,0.750000,2.700000
0,0,-6.299047,-1.377068,1.180551,-0.267850,0.750000,2.750000
1,0,-6.302183,1.376509,1.178022,0.268010,0.750000,2.750000
2,1,-2.407155,0.001489,-1.062917,-0.000227,0.750000,2.750000
0,0,-6.239793,-1.392502,1.185081,-0.308672,0.750000,2.800000
1,0,-6.243102,1.391978,1.181623,0.309377,0.750000,2.800000
2,1,-2.460690,0.001451,-1.070692,-0.000775,0.750000,2.800000
0,0,-6.179966,-1.406225,1.196530,-0.274458,0.750000,2.850000
1,0,-6.183431,1.405733,1.193418,0.275098,0.750000,2.850000
2,1,-2.515371,0.001415,-1.093623,-0.000711,0.750000,2.850000
0,0,-6.119625,-1.418402,1.206830,-0.243535,0.750000,2.900000
1,0,-6.123230,1.417939,1.204030,0.244115,0.750000,2.900000
