id,gid,x,y,v_x,v_y,radius,time
0,0,7.993437,0.000002,-0.131269,0.000043,0.500000,0.050000
1,1,5.652748,5.652748,-0.082035,-0.082036,0.500000,0.050000
2,2,0.000002,7.993178,0.000038,-0.136443,0.500000,0.050000
3,3,-5.652172,5.652173,0.093562,-0.093540,0.500000,0.050000
4,4,-7.994094,0.000001,0.118122,0.000028,0.500000,0.050000
5,5,-5.652080,-5.652093,0.095396,0.095333,0.500000,0.050000
6,6,0.000000,-7.993084,0.000001,0.138325,0.500000,0.050000
7,7,5.652674,-5.652660,-0.083720,0.083795,0.500000,0.050000
0,0,7.980966,0.000006,-0.249407,0.000082,0.500000,0.100000
1,1,5.644955,5.644955,-0.155857,-0.155857,0.500000,0.100000
2,2,0.000005,7.980216,0.000066,-0.259239,0.500000,0.100000
3,3,-5.643284,5.643287,0.177755,-0.177725,0.500000,0.100000
4,4,-7.982873,0.000003,0.224414,0.000048,0.500000,0.100000
5,5,-5.643018,-5.643037,0.181239,0.181122,0.500000,0.100000
6,6,0.000000,-7.979944,0.000007,0.262801,0.500000,0.100000
7,7,5.644721,-5.644700,-0.159065,0.159203,0.500000,0.100000
0,0,7.963180,0.000011,-0.355719,0.000097,0.500000,0.150000
1,1,5.633843,5.633843,-0.222247,-0.222251,0.500000,0.150000
2,2,0.000009,7.961728,0.000087,-0.369759,0.500000,0.150000
3,3,-5.630609,5.630614,0.253505,-0.253463,0.500000,0.150000
4,4,-7.966871,0.000008,0.320049,0.000090,0.500000,0.150000
5,5,-5.630094,-5.630122,0.258476,0.258311,0.500000,0.150000
6,6,0.000000,-7.961203,-0.000006,0.374813,0.500000,0.150000
7,7,5.633379,-5.633347,-0.226833,0.227072,0.500000,0.150000
0,0,7.940614,0.000018,-0.451324,0.000143,0.500000,0.200000
1,1,5.619742,5.619744,-0.282013,-0.281971,0.500000,0.200000
2,2,0.000017,7.938270,0.000157,-0.469155,0.500000,0.200000
3,3,-5.614527,5.614533,0.321637,-0.321603,0.500000,0.200000
4,4,-7.946569,0.000014,0.406038,0.000124,0.500000,0.200000
5,5,-5.613696,-5.613733,0.327979,0.327771,0.500000,0.200000
6,6,0.000002,-7.937421,0.000035,0.475646,0.500000,0.200000
7,7,5.618989,-5.618942,-0.287798,0.288090,0.500000,0.200000
0,0,7.913745,0.000025,-0.537388,0.000129,0.500000,0.250000
1,1,5.602960,5.602957,-0.335650,-0.335744,0.500000,0.250000
2,2,0.000024,7.910341,0.000146,-0.558577,0.500000,0.250000
3,3,-5.595378,5.595387,0.382979,-0.382936,0.500000,0.250000
4,4,-7.922403,0.000023,0.483307,0.000174,0.500000,0.250000
5,5,-5.594175,-5.594220,0.390415,0.390270,0.500000,0.250000
6,6,0.000003,-7.909104,0.000018,0.566333,0.500000,0.250000
7,7,5.601862,-5.601794,-0.342538,0.342952,0.500000,0.250000
0,0,7.883009,0.000030,-0.614721,0.000114,0.500000,0.300000
1,1,5.583761,5.583757,-0.383986,-0.384006,0.500000,0.300000
2,2,0.000034,7.878387,0.000192,-0.639082,0.500000,0.300000
3,3,-5.573476,5.573485,0.438032,-0.438042,0.500000,0.300000
4,4,-7.894767,0.000028,0.552725,0.000119,0.500000,0.300000
5,5,-5.571844,-5.571897,0.446613,0.446449,0.500000,0.300000
6,6,0.000002,-7.876709,-0.000008,0.647904,0.500000,0.300000
7,7,5.582275,-5.582177,-0.391740,0.392342,0.500000,0.300000
0,0,7.848786,0.000036,-0.684456,0.000108,0.500000,0.350000
1,1,5.562388,5.562391,-0.427451,-0.427320,0.500000,0.350000
2,2,0.000042,7.842817,0.000170,-0.711410,0.500000,0.350000
3,3,-5.549105,5.549100,0.487426,-0.487681,0.500000,0.350000
4,4,-7.864013,0.000026,0.615077,-0.000047,0.500000,0.350000
5,5,-5.546991,-5.547047,0.497056,0.497002,0.500000,0.350000
6,6,0.000007,-7.840650,0.000087,0.721175,0.500000,0.350000
7,7,5.560478,-5.560351,-0.435943,0.436536,0.500000,0.350000
0,0,7.811428,0.000044,-0.747148,0.000171,0.500000,0.400000
1,1,5.539059,5.539083,-0.466577,-0.466154,0.500000,0.400000
2,2,0.000056,7.803987,0.000271,-0.776602,0.500000,0.400000
3,3,-5.522516,5.522477,0.531792,-0.532466,0.500000,0.400000
4,4,-7.830449,0.000028,0.671286,0.000034,0.500000,0.400000
5,5,-5.519862,-5.519926,0.542585,0.542420,0.500000,0.400000
6,6,0.000010,-7.801295,0.000073,0.787102,0.500000,0.400000
7,7,5.536700,-5.536539,-0.475562,0.476232,0.500000,0.400000
0,0,7.771252,0.000060,-0.803534,0.000307,0.500000,0.450000
1,1,5.513987,5.514022,-0.501437,-0.501216,0.500000,0.450000
2,2,0.000072,7.762229,0.000324,-0.835149,0.500000,0.450000
3,3,-5.493920,5.493845,0.571907,-0.572651,0.500000,0.450000
4,4,-7.794360,0.000024,0.721788,-0.000067,0.500000,0.450000
5,5,-5.490683,-5.490759,0.583588,0.583347,0.500000,0.450000
6,6,0.000015,-7.758967,0.000098,0.846565,0.500000,0.450000
7,7,5.511150,-5.510945,-0.511004,0.511873,0.500000,0.450000
0,0,7.728525,0.000078,-0.854536,0.000375,0.500000,0.500000
1,1,5.487357,5.487390,-0.532601,-0.532653,0.500000,0.500000
2,2,0.000102,7.717845,0.000598,-0.887679,0.500000,0.500000
3,3,-5.463527,5.463407,0.607868,-0.608745,0.500000,0.500000
4,4,-7.756022,0.000016,0.766745,-0.000162,0.500000,0.500000
5,5,-5.459663,-5.459757,0.620386,0.620029,0.500000,0.500000
6,6,0.000037,-7.713968,0.000426,0.899973,0.500000,0.500000
7,7,5.483981,-5.483739,-0.543367,0.544125,0.500000,0.500000
0,0,7.683519,0.000096,-0.900124,0.000349,0.500000,0.550000
1,1,5.459324,5.459346,-0.560668,-0.560879,0.500000,0.550000
2,2,0.000118,7.671083,0.000328,-0.935245,0.500000,0.550000
3,3,-5.431520,5.431363,0.640133,-0.640879,0.500000,0.550000
4,4,-7.715642,0.000014,0.807613,-0.000048,0.500000,0.550000
5,5,-5.426976,-5.427110,0.653755,0.652940,0.500000,0.550000
6,6,0.000075,-7.666558,0.000774,0.948211,0.500000,0.550000
7,7,5.455374,-5.455107,-0.572142,0.572645,0.500000,0.550000
0,0,7.636470,0.000121,-0.940976,0.000509,0.500000,0.600000
1,1,5.430020,5.430042,-0.586082,-0.586068,0.500000,0.600000
2,2,0.000139,7.622180,0.000407,-0.978064,0.500000,0.600000
3,3,-5.398051,5.397876,0.669382,-0.669757,0.500000,0.600000
4,4,-7.673439,0.000021,0.844049,0.000142,0.500000,0.600000
5,5,-5.392811,-5.392981,0.683293,0.682578,0.500000,0.600000
6,6,0.000115,-7.616986,0.000804,0.991437,0.500000,0.600000
7,7,5.425481,-5.425184,-0.597863,0.598462,0.500000,0.600000
0,0,7.587571,0.000137,-0.977970,0.000305,0.500000,0.650000
1,1,5.399591,5.399603,-0.608582,-0.608781,0.500000,0.650000
2,2,0.000160,7.571365,0.000420,-1.016307,0.500000,0.650000
3,3,-5.363286,5.363094,0.695298,-0.695628,0.500000,0.650000
4,4,-7.629603,0.000037,0.876732,0.000323,0.500000,0.650000
5,5,-5.357306,-5.357527,0.710100,0.709093,0.500000,0.650000
6,6,0.000145,-7.565473,0.000587,1.030253,0.500000,0.650000
7,7,5.394434,-5.394111,-0.620946,0.621448,0.500000,0.650000
0,0,7.537002,0.000137,-1.011384,0.000011,0.500000,0.700000
1,1,5.368150,5.368158,-0.628808,-0.628906,0.500000,0.700000
2,2,0.000187,7.518823,0.000553,-1.050824,0.500000,0.700000
3,3,-5.327333,5.327142,0.719062,-0.719034,0.500000,0.700000
4,4,-7.584312,0.000053,0.905811,0.000322,0.500000,0.700000
5,5,-5.320593,-5.320871,0.734260,0.733121,0.500000,0.700000
6,6,0.000165,-7.512224,0.000404,1.064979,0.500000,0.700000
7,7,5.362349,-5.362012,-0.641707,0.641993,0.500000,0.700000
0,0,7.484935,0.000149,-1.041341,0.000241,0.500000,0.750000
1,1,5.335794,5.335828,-0.647125,-0.646598,0.500000,0.750000
2,2,0.000222,7.464727,0.000689,-1.081933,0.500000,0.750000
3,3,-5.290324,5.290115,0.740175,-0.740555,0.500000,0.750000
4,4,-7.537722,0.000076,0.931800,0.000453,0.500000,0.750000
5,5,-5.282818,-5.283151,0.755497,0.754395,0.500000,0.750000
6,6,0.000210,-7.457390,0.000908,1.096682,0.500000,0.750000
7,7,5.329351,-5.328974,-0.659953,0.660745,0.500000,0.750000
0,0,7.431539,0.000157,-1.067928,0.000162,0.500000,0.800000
1,1,5.302643,5.302674,-0.663013,-0.663070,0.500000,0.800000
2,2,0.000250,7.409235,0.000557,-1.109828,0.500000,0.800000
3,3,-5.252350,5.252131,0.759478,-0.759665,0.500000,0.800000
4,4,-7.489977,0.000096,0.954896,0.000411,0.500000,0.800000
5,5,-5.244079,-5.244485,0.774790,0.773310,0.500000,0.800000
6,6,0.000260,-7.401135,0.000997,1.125101,0.500000,0.800000
7,7,5.295509,-5.295123,-0.676835,0.677027,0.500000,0.800000
0,0,7.376927,0.000156,-1.092243,-0.000032,0.500000,0.850000
1,1,5.268743,5.268795,-0.678014,-0.677592,0.500000,0.850000
2,2,0.000305,7.352481,0.001103,-1.135087,0.500000,0.850000
3,3,-5.213532,5.213298,0.776363,-0.776664,0.500000,0.850000
4,4,-7.441176,0.000118,0.976017,0.000437,0.500000,0.850000
5,5,-5.204448,-5.204957,0.792616,0.790569,0.500000,0.850000
6,6,0.000310,-7.343622,0.000992,1.150264,0.500000,0.850000
7,7,5.260924,-5.260531,-0.691705,0.691834,0.500000,0.850000
0,0,7.321215,0.000151,-1.114227,-0.000096,0.500000,0.900000
1,1,5.234188,5.234253,-0.691086,-0.690835,0.500000,0.900000
2,2,0.000366,7.294599,0.001234,-1.157634,0.500000,0.900000
3,3,-5.173934,5.173707,0.791958,-0.791831,0.500000,0.900000
4,4,-7.391415,0.000167,0.995220,0.000977,0.500000,0.900000
5,5,-5.164034,-5.164643,0.808285,0.806288,0.500000,0.900000
6,6,0.000352,-7.284947,0.000833,1.173490,0.500000,0.900000
7,7,5.225670,-5.225281,-0.705079,0.705005,0.500000,0.900000
0,0,7.264538,0.000154,-1.133554,0.000061,0.500000,0.950000
1,1,5.199068,5.199156,-0.702406,-0.701934,0.500000,0.950000
2,2,0.000431,7.235685,0.001291,-1.178290,0.500000,0.950000
3,3,-5.133662,5.133445,0.805453,-0.805238,0.500000,0.950000
4,4,-7.340815,0.000229,1.012017,0.001227,0.500000,0.950000
5,5,-5.122897,-5.123628,0.822733,0.820283,0.500000,0.950000
6,6,0.000400,-7.225236,0.000964,1.194225,0.500000,0.950000
7,7,5.189816,-5.189413,-0.717075,0.717360,0.500000,0.950000
0,0,7.206979,0.000159,-1.151174,0.000110,0.500000,1.000000
1,1,5.163445,5.163525,-0.712461,-0.712625,0.500000,1.000000
2,2,0.000491,7.175838,0.001204,-1.196937,0.500000,1.000000
3,3,-5.092793,5.092581,0.817383,-0.817278,0.500000,1.000000
4,4,-7.289440,0.000308,1.027497,0.001597,0.500000,1.000000
5,5,-5.081137,-5.081984,0.835190,0.832879,0.500000,1.000000
6,6,0.000450,-7.164628,0.001012,1.212169,0.500000,1.000000
7,7,5.153445,-5.153017,-0.727424,0.727915,0.500000,1.000000
0,0,7.148623,0.000176,-1.167107,0.000325,0.500000,1.050000
1,1,5.127363,5.127427,-0.721643,-0.721970,0.500000,1.050000
2,2,0.000544,7.115180,0.001054,-1.213151,0.500000,1.050000
3,3,-5.051383,5.051154,0.828186,-0.828533,0.500000,1.050000
4,4,-7.237392,0.000378,1.040956,0.001394,0.500000,1.050000
5,5,-5.038829,-5.039780,0.846177,0.844085,0.500000,1.050000
6,6,0.000501,-7.103164,0.001021,1.229268,0.500000,1.050000
7,7,5.116604,-5.116167,-0.736827,0.737012,0.500000,1.050000
0,0,7.089558,0.000182,-1.181317,0.000132,0.500000,1.100000
1,1,5.090850,5.090938,-0.730254,-0.729779,0.500000,1.100000
2,2,0.000576,7.053772,0.000648,-1.228158,0.500000,1.100000
3,3,-5.009462,5.009225,0.838433,-0.838589,0.500000,1.100000
4,4,-7.184757,0.000427,1.052703,0.000982,0.500000,1.100000
5,5,-4.996042,-4.997041,0.855725,0.854792,0.500000,1.100000
6,6,0.000557,-7.040950,0.001112,1.244280,0.500000,1.100000
7,7,5.079362,-5.078888,-0.744839,0.745576,0.500000,1.100000
0,0,7.029890,0.000203,-1.193345,0.000412,0.500000,1.150000
1,1,5.053970,5.054069,-0.737610,-0.737366,0.500000,1.150000
2,2,0.000610,6.991690,0.000666,-1.241639,0.500000,1.150000
3,3,-4.967094,4.966852,0.847363,-0.847466,0.500000,1.150000
4,4,-7.131561,0.000463,1.063907,0.000710,0.500000,1.150000
5,5,-4.952782,-4.953845,0.865202,0.863914,0.500000,1.150000
6,6,0.000597,-6.978083,0.000800,1.257336,0.500000,1.150000
7,7,5.041716,-5.041248,-0.752911,0.752793,0.500000,1.150000
0,0,6.969698,0.000231,-1.203846,0.000564,0.500000,1.200000
1,1,5.016783,5.016891,-0.743734,-0.743562,0.500000,1.200000
2,2,0.000668,6.929044,0.001162,-1.252933,0.500000,1.200000
3,3,-4.924306,4.924118,0.855755,-0.854663,0.500000,1.200000
4,4,-7.077970,0.000486,1.071837,0.000465,0.500000,1.200000
5,5,-4.909120,-4.910238,0.873248,0.872140,0.500000,1.200000
6,6,0.000595,-6.914631,-0.000041,1.269054,0.500000,1.200000
7,7,5.003748,-5.003288,-0.759357,0.759202,0.500000,1.200000
0,0,6.909011,0.000251,-1.213750,0.000407,0.500000,1.250000
1,1,4.979320,4.979410,-0.749268,-0.749618,0.500000,1.250000
2,2,0.000741,6.865869,0.001467,-1.263498,0.500000,1.250000
3,3,-4.881154,4.881043,0.863039,-0.861500,0.500000,1.250000
4,4,-7.023976,0.000500,1.079863,0.000279,0.500000,1.250000
5,5,-4.865118,-4.866282,0.880044,0.879113,0.500000,1.250000
6,6,0.000617,-6.850640,0.000449,1.279810,0.500000,1.250000
7,7,4.965524,-4.965055,-0.764481,0.764665,0.500000,1.250000
0,0,6.847872,0.000255,-1.222780,0.000076,0.500000,1.300000
1,1,4.941616,4.941700,-0.754070,-0.754215,0.500000,1.300000
2,2,0.000789,6.802235,0.000959,-1.272685,0.500000,1.300000
3,3,-4.837746,4.837663,0.868156,-0.867600,0.500000,1.300000
4,4,-6.969662,0.000515,1.086291,0.000293,0.500000,1.300000
5,5,-4.820836,-4.822019,0.885633,0.885265,0.500000,1.300000
6,6,0.000627,-6.786161,0.000188,1.289592,0.500000,1.300000
7,7,4.927040,-4.926615,-0.769685,0.768790,0.500000,1.300000
0,0,6.786375,0.000256,-1.229941,0.000019,0.500000,1.350000
1,1,4.903726,4.903804,-0.757803,-0.757914,0.500000,1.350000
2,2,0.000802,6.738215,0.000265,-1.280403,0.500000,1.350000
3,3,-4.794058,4.794037,0.873754,-0.872533,0.500000,1.350000
4,4,-6.915059,0.000515,1.092047,0.000011,0.500000,1.350000
5,5,-4.776258,-4.777468,0.891557,0.891021,0.500000,1.350000
6,6,0.000641,-6.721269,0.000290,1.297831,0.500000,1.350000
7,7,4.888345,-4.887971,-0.773903,0.772896,0.500000,1.350000
0,0,6.724519,0.000261,-1.237104,0.000106,0.500000,1.400000
1,1,4.865652,4.865761,-0.761481,-0.760863,0.500000,1.400000
2,2,0.000801,6.673797,-0.000020,-1.288351,0.500000,1.400000
3,3,-4.750125,4.750158,0.878672,-0.877573,0.500000,1.400000
4,4,-6.860206,0.000515,1.097066,-0.000002,0.500000,1.400000
5,5,-4.731422,-4.732633,0.896730,0.896704,0.500000,1.400000
6,6,0.000640,-6.656030,-0.000034,1.304788,0.500000,1.400000
7,7,4.849464,-4.849148,-0.777609,0.776456,0.500000,1.400000
0,0,6.662320,0.000308,-1.243979,0.000937,0.500000,1.450000
1,1,4.827448,4.827538,-0.764073,-0.764461,0.500000,1.450000
2,2,0.000825,6.609053,0.000467,-1.294874,0.500000,1.450000
3,3,-4.705972,4.706058,0.883060,-0.882011,0.500000,1.450000
4,4,-6.805187,0.000512,1.100388,-0.000069,0.500000,1.450000
5,5,-4.686347,-4.687578,0.901503,0.901096,0.500000,1.450000
6,6,0.000615,-6.590439,-0.000501,1.311810,0.500000,1.450000
7,7,4.810392,-4.810211,-0.781439,0.778738,0.500000,1.450000
0,0,6.599858,0.000358,-1.249257,0.001004,0.500000,1.500000
1,1,4.789116,4.789219,-0.766638,-0.766380,0.500000,1.500000
2,2,0.000847,6.543996,0.000438,-1.301151,0.500000,1.500000
3,3,-4.661637,4.661785,0.886691,-0.885453,0.500000,1.500000
4,4,-6.750003,0.000520,1.103667,0.000161,0.500000,1.500000
5,5,-4.641120,-4.642327,0.904535,0.905025,0.500000,1.500000
6,6,0.000549,-6.524536,-0.001317,1.318062,0.500000,1.500000
7,7,4.771137,-4.771103,-0.785115,0.782159,0.500000,1.500000
0,0,6.537163,0.000417,-1.253893,0.001166,0.500000,1.550000
1,1,4.750669,4.750813,-0.768954,-0.768122,0.500000,1.550000
2,2,0.000850,6.478659,0.000073,-1.306735,0.500000,1.550000
