id,gid,x,y,v_x,v_y,radius,time
0,0,10.159068,0.357284,-0.140642,0.043606,0.200000,0.050000
1,0,12.539391,0.591424,-0.180178,-0.002053,0.200000,0.050000
2,0,7.340638,-0.116659,0.371955,0.106440,0.200000,0.050000
3,0,6.779540,-0.865378,-0.500000,-0.500000,0.200000,0.050000
4,0,8.831416,0.706454,-0.072685,0.128833,0.200000,0.050000
5,0,5.248660,0.509603,0.500000,-0.500000,0.200000,0.050000
6,0,13.694492,-1.057201,-0.020153,-0.147423,0.200000,0.050000
7,0,10.855091,-0.170472,-0.098176,-0.012532,0.200000,0.050000
8,0,13.300458,-0.530894,-0.248839,0.130940,0.200000,0.050000
9,0,8.021697,-0.227765,-0.157066,-0.142819,0.200000,0.050000
10,0,6.888300,0.244538,0.500000,0.500000,0.200000,0.050000
11,0,14.755254,-0.690887,-0.112922,0.007222,0.200000,0.050000
12,0,13.384900,0.570504,-0.500000,-0.500000,0.200000,0.050000
13,0,8.527111,0.132420,0.016217,0.012671,0.200000,0.050000
14,0,6.789451,-0.389901,-0.457775,0.500000,0.200000,0.050000
15,0,13.637100,1.045840,0.500000,0.500000,0.200000,0.050000
16,0,6.420660,0.024987,-0.500000,-0.500000,0.200000,0.050000
17,0,6.772567,0.890733,-0.137067,0.156710,0.200000,0.050000
18,0,9.492115,-0.438999,-0.126290,-0.027156,0.200000,0.050000
19,0,7.357290,-0.848317,0.500000,-0.178536,0.200000,0.050000
20,1,7.299147,7.707160,-0.018454,-0.124008,0.200000,0.050000
21,1,8.364979,-4.201779,-0.022427,-0.132584,0.200000,0.050000
22,1,7.111613,2.329127,0.000460,-0.138460,0.200000,0.050000
23,1,9.086851,-3.083077,-0.029575,-0.127741,0.200000,0.050000
24,1,5.310832,5.483088,0.013844,-0.137649,0.200000,0.050000
25,1,8.411836,-2.035439,-0.020680,-0.125177,0.200000,0.050000
26,1,6.821808,6.561460,-0.003246,-0.136997,0.200000,0.050000
27,1,5.172784,1.230864,0.115275,0.152687,0.200000,0.050000
28,1,4.810171,3.016975,0.012427,-0.115908,0.200000,0.050000
29,1,4.787470,0.734054,-0.500000,0.500000,0.200000,0.050000
30,1,7.601990,3.440097,-0.022803,-0.135859,0.200000,0.050000
31,1,7.274856,-4.351431,-0.019079,-0.129627,0.200000,0.050000
32,1,5.646088,2.233815,0.027164,-0.116899,0.200000,0.050000
33,1,7.976688,5.357815,-0.012647,-0.125891,0.200000,0.050000
34,1,4.927808,6.630389,0.013753,-0.118227,0.200000,0.050000
35,1,9.193315,3.777263,0.179703,-0.148335,0.200000,0.050000
36,1,6.196845,4.201802,0.007099,-0.130359,0.200000,0.050000
37,1,8.544266,3.854746,-0.169081,-0.157679,0.200000,0.050000
38,1,9.140732,4.627873,-0.011567,-0.079742,0.200000,0.050000
39,1,6.798838,8.862483,-0.001446,-0.120340,0.200000,0.050000
0,0,10.146833,0.360026,-0.244690,0.054843,0.200000,0.100000
1,0,12.524741,0.591668,-0.293002,0.004864,0.200000,0.100000
2,0,7.334236,-0.100680,-0.128045,0.319582,0.200000,0.100000
3,0,6.750869,-0.888208,-0.573415,-0.456599,0.200000,0.100000
4,0,8.822726,0.717813,-0.173802,0.227183,0.200000,0.100000
5,0,5.259684,0.490133,0.220478,-0.389405,0.200000,0.100000
6,0,13.686906,-1.064261,-0.151719,-0.141187,0.200000,0.100000
7,0,10.845179,-0.171802,-0.198236,-0.026612,0.200000,0.100000
8,0,13.284793,-0.530198,-0.313295,0.013911,0.200000,0.100000
9,0,8.027922,-0.244492,0.124508,-0.334538,0.200000,0.100000
10,0,6.903517,0.267076,0.304330,0.450759,0.200000,0.100000
11,0,14.744271,-0.689790,-0.219668,0.021929,0.200000,0.100000
12,0,13.355235,0.552260,-0.593309,-0.364875,0.200000,0.100000
13,0,8.522155,0.130110,-0.099113,-0.046188,0.200000,0.100000
14,0,6.791562,-0.389901,0.042225,0.000000,0.200000,0.100000
15,0,13.653110,1.067976,0.320204,0.442716,0.200000,0.100000
16,0,6.370660,0.024987,-1.000000,0.000000,0.200000,0.100000
17,0,6.763319,0.897656,-0.184957,0.138474,0.200000,0.100000
18,0,9.481024,-0.440816,-0.221830,-0.036347,0.200000,0.100000
19,0,7.373106,-0.856406,0.316330,-0.161778,0.200000,0.100000
20,1,7.297422,7.695450,-0.034512,-0.234185,0.200000,0.100000
21,1,8.363126,-4.214308,-0.037060,-0.250569,0.200000,0.100000
22,1,7.112373,2.316227,0.015205,-0.258009,0.200000,0.100000
23,1,9.083890,-3.095173,-0.059225,-0.241919,0.200000,0.100000
