id,gid,x,y,v_x,v_y,radius,time
0,0,10.099433,0.332882,-0.666667,-0.222222,0.200000,0.100000
1,0,12.481733,0.569305,-0.666667,-0.222222,0.200000,0.100000
2,0,7.255373,-0.144203,-0.666667,-0.222222,0.200000,0.100000
3,0,6.737873,-0.818156,-0.666667,0.222222,0.200000,0.100000
4,0,8.768383,0.677790,-0.666667,-0.222222,0.200000,0.100000
5,0,5.201438,0.512381,-0.222222,-0.222222,0.200000,0.100000
6,0,13.628833,-1.072052,-0.666667,-0.222222,0.200000,0.100000
7,0,10.793333,-0.192067,-0.666667,-0.222222,0.200000,0.100000
8,0,13.246233,-0.515219,-0.666667,0.222222,0.200000,0.100000
9,0,7.962883,-0.198402,-0.666667,0.222222,0.200000,0.100000
10,0,6.841078,0.241760,-0.222222,0.222222,0.200000,0.100000
11,0,14.694233,-0.669026,-0.666667,0.222222,0.200000,0.100000
12,0,13.343233,0.573282,-0.666667,-0.222222,0.200000,0.100000
13,0,8.459633,0.154008,-0.666667,0.222222,0.200000,0.100000
14,0,6.745673,-0.392679,-0.666667,0.222222,0.200000,0.100000
15,0,13.545433,1.043062,-0.666667,0.222222,0.200000,0.100000
16,0,6.378993,0.027765,-0.666667,-0.222222,0.200000,0.100000
17,0,6.712753,0.860675,-0.666667,-0.222222,0.200000,0.100000
18,0,9.431763,-0.415419,-0.666667,0.222222,0.200000,0.100000
19,0,7.310068,-0.772723,-0.222222,0.666667,0.200000,0.100000
20,1,7.322292,7.646693,0.222222,-0.666667,0.200000,0.100000
21,1,8.343878,-4.261817,-0.222222,-0.666667,0.200000,0.100000
22,1,7.089368,2.269383,-0.222222,-0.666667,0.200000,0.100000
23,1,9.066108,-3.143357,-0.222222,-0.666667,0.200000,0.100000
24,1,5.332362,5.423303,0.222222,-0.666667,0.200000,0.100000
25,1,8.390648,-2.095847,-0.222222,-0.666667,0.200000,0.100000
26,1,6.844192,6.501643,0.222222,-0.666667,0.200000,0.100000
27,1,5.189242,1.156563,0.222222,-0.666667,0.200000,0.100000
28,1,4.831772,2.956103,0.222222,-0.666667,0.200000,0.100000
29,1,4.790248,0.642387,-0.222222,-0.666667,0.200000,0.100000
30,1,7.580908,3.380223,-0.222222,-0.666667,0.200000,0.100000
31,1,7.253588,-4.411617,-0.222222,-0.666667,0.200000,0.100000
32,1,5.666952,2.172993,0.222222,-0.666667,0.200000,0.100000
33,1,7.955098,5.297443,-0.222222,-0.666667,0.200000,0.100000
34,1,4.904898,6.569633,-0.222222,-0.666667,0.200000,0.100000
35,1,9.162108,3.718013,-0.222222,-0.666667,0.200000,0.100000
36,1,6.218712,4.141653,0.222222,-0.666667,0.200000,0.100000
37,1,8.530498,3.795963,-0.222222,-0.666667,0.200000,0.100000
38,1,9.119088,4.609638,-0.222222,-0.222222,0.200000,0.100000
39,1,6.776688,8.801833,-0.222222,-0.666667,0.200000,0.100000
