id,gid,x,y,v_x,v_y,radius,time
0,0,-8.933333,-1.022222,0.666667,-0.222222,0.750000,0.100000
1,0,-8.933333,0.977778,0.666667,-0.222222,0.750000,0.100000
2,1,-0.130000,0.000000,-1.300000,0.000000,0.750000,0.100000
0,0,-8.822222,-1.044444,1.111111,-0.222222,0.750000,0.200000
1,0,-8.822222,0.955556,1.111111,-0.222222,0.750000,0.200000
2,1,-0.260000,0.000000,-1.300000,0.000000,0.750000,0.200000
0,0,-8.711111,-1.066667,1.111111,-0.222222,0.750000,0.300000
1,0,-8.711111,0.933333,1.111111,-0.222222,0.750000,0.300000
2,1,-0.390000,0.000000,-1.300000,0.000000,0.750000,0.300000
0,0,-8.600000,-1.088889,1.111111,-0.222222,0.750000,0.400000
1,0,-8.600000,0.911111,1.111111,-0.222222,0.750000,0.400000
2,1,-0.520000,0.000000,-1.300000,0.000000,0.750000,0.400000
0,0,-8.488889,-1.111111,1.111111,-0.222222,0.750000,0.500000
1,0,-8.488889,0.888889,1.111111,-0.222222,0.750000,0.500000
2,1,-0.650000,0.000000,-1.300000,0.000000,0.750000,0.500000
0,0,-8.377778,-1.133333,1.111111,-0.222222,0.750000,0.600000
1,0,-8.377778,0.866667,1.111111,-0.222222,0.750000,0.600000
2,1,-0.780000,0.000000,-1.300000,0.000000,0.750000,0.600000
0,0,-8.266667,-1.155556,1.111111,-0.222222,0.750000,0.700000
1,0,-8.266667,0.844444,1.111111,-0.222222,0.750000,0.700000
2,1,-0.910000,0.000000,-1.300000,0.000000,0.750000,0.700000
0,0,-8.155556,-1.177778,1.111111,-0.222222,0.750000,0.800000
1,0,-8.155556,0.822222,1.111111,-0.222222,0.750000,0.800000
2,1,-1.040000,0.000000,-1.300000,0.000000,0.750000,0.800000
0,0,-8.044444,-1.200000,1.111111,-0.222222,0.750000,0.900000
1,0,-8.044444,0.800000,1.111111,-0.222222,0.750000,0.900000
2,1,-1.170000,0.000000,-1.300000,0.000000,0.750000,0.900000
0,0,-7.933333,-1.222222,1.111111,-0.222222,0.750000,1.000000
1,0,-7.933333,0.777778,1.111111,-0.222222,0.750000,1.000000
2,1,-1.300000,0.000000,-1.300000,0.000000,0.750000,1.000000
0,0,-7.822222,-1.244444,1.111111,-0.222222,0.750000,1.100000
1,0,-7.822222,0.755556,1.111111,-0.222222,0.750000,1.100000
2,1,-1.430000,0.000000,-1.300000,0.000000,0.750000,1.100000
0,0,-7.711111,-1.266667,1.111111,-0.222222,0.750000,1.200000
1,0,-7.711111,0.733333,1.111111,-0.222222,0.750000,1.200000
2,1,-1.560000,0.000000,-1.300000,0.000000,0.750000,1.200000
0,0,-7.600000,-1.288889,1.111111,-0.222222,0.750000,1.300000
1,0,-7.600000,0.711111,1.111111,-0.222222,0.750000,1.300000
2,1,-1.690000,0.000000,-1.300000,0.000000,0.750000,1.300000
0,0,-7.488889,-1.311111,1.111111,-0.222222,0.750000,1.400000
1,0,-7.488889,0.688889,1.111111,-0.222222,0.750000,1.400000
2,1,-1.820000,0.000000,-1.300000,0.000000,0.750000,1.400000
0,0,-7.377778,-1.333333,1.111111,-0.222222,0.750000,1.500000
1,0,-7.377778,0.666667,1.111111,-0.222222,0.750000,1.500000
2,1,-1.950000,0.000000,-1.300000,0.000000,0.750000,1.500000
0,0,-7.266667,-1.355556,1.111111,-0.222222,0.750000,1.600000
1,0,-7.266667,0.644444,1.111111,-0.222222,0.750000,1.600000
2,1,-2.080000,0.000000,-1.300000,0.000000,0.750000,1.600000
0,0,-7.155556,-1.377778,1.111111,-0.222222,0.750000,1.700000
1,0,-7.155556,0.622222,1.111111,-0.222222,0.750000,1.700000
2,1,-2.210000,0.000000,-1.300000,0.000000,0.750000,1.700000
0,0,-7.044444,-1.400000,1.111111,-0.222222,0.750000,1.800000
1,0,-7.044444,0.600000,1.111111,-0.222222,0.750000,1.800000
2,1,-2.321111,-0.066667,-1.111111,-0.666667,0.750000,1.800000
0,0,-6.933333,-1.422222,1.111111,-0.222222,0.750000,1.900000
1,0,-6.933333,0.577778,1.111111,-0.222222,0.750000,1.900000
2,1,-2.432222,-0.133333,-1.111111,-0.666667,0.750000,1.900000
0,0,-6.822222,-1.444444,1.111111,-0.222222,0.750000,2.000000
1,0,-6.822222,0.555556,1.111111,-0.222222,0.750000,2.000000
2,1,-2.543333,-0.200000,-1.111111,-0.666667,0.750000,2.000000
0,0,-6.711111,-1.466667,1.111111,-0.222222,0.750000,2.100000
1,0,-6.711111,0.533333,1.111111,-0.222222,0.750000,2.100000
2,1,-2.654444,-0.266667,-1.111111,-0.666667,0.750000,2.100000
0,0,-6.600000,-1.488889,1.111111,-0.222222,0.750000,2.200000
1,0,-6.600000,0.511111,1.111111,-0.222222,0.750000,2.200000
2,1,-2.765556,-0.333333,-1.111111,-0.666667,0.750000,2.200000
0,0,-6.488889,-1.511111,1.111111,-0.222222,0.750000,2.300000
1,0,-6.488889,0.488889,1.111111,-0.222222,0.750000,2.300000
2,1,-2.876667,-0.400000,-1.111111,-0.666667,0.750000,2.300000
0,0,-6.377778,-1.533333,1.111111,-0.222222,0.750000,2.400000
1,0,-6.377778,0.466667,1.111111,-0.222222,0.750000,2.400000
2,1,-2.987778,-0.466667,-1.111111,-0.666667,0.750000,2.400000
0,0,-6.266667,-1.555556,1.111111,-0.222222,0.750000,2.500000
1,0,-6.266667,0.444444,1.111111,-0.222222,0.750000,2.500000
2,1,-3.098889,-0.533333,-1.111111,-0.666667,0.750000,2.500000
0,0,-6.155556,-1.577778,1.111111,-0.222222,0.750000,2.600000
1,0,-6.155556,0.422222,1.111111,-0.222222,0.750000,2.600000
2,1,-3.210000,-0.600000,-1.111111,-0.666667,0.750000,2.600000
0,0,-6.044444,-1.600000,1.111111,-0.222222,0.750000,2.700000
1,0,-6.044444,0.400000,1.111111,-0.222222,0.750000,2.700000
2,1,-3.321111,-0.577778,-1.111111,0.222222,0.750000,2.700000
0,0,-5.933333,-1.622222,1.111111,-0.222222,0.750000,2.800000
1,0,-5.933333,0.377778,1.111111,-0.222222,0.750000,2.800000
2,1,-3.387778,-0.644444,-0.666667,-0.666667,0.750000,2.800000
0,0,-5.822222,-1.644444,1.111111,-0.222222,0.750000,2.900000
1,0,-5.822222,0.355556,1.111111,-0.222222,0.750000,2.900000
2,1,-3.454444,-0.622222,-0.666667,0.222222,0.750000,2.900000
0,0,-5.711111,-1.666667,1.111111,-0.222222,0.750000,3.000000
1,0,-5.711111,0.333333,1.111111,-0.222222,0.750000,3.000000
2,1,-3.521111,-0.688889,-0.666667,-0.666667,0.750000,3.000000
0,0,-5.600000,-1.688889,1.111111,-0.222222,0.750000,3.100000
1,0,-5.600000,0.311111,1.111111,-0.222222,0.750000,3.100000
2,1,-3.543333,-0.666667,-0.222222,0.222222,0.750000,3.100000
0,0,-5.488889,-1.711111,1.111111,-0.222222,0.750000,3.200000
1,0,-5.488889,0.288889,1.111111,-0.222222,0.750000,3.200000
2,1,-3.565556,-0.733333,-0.222222,-0.666667,0.750000,3.200000
0,0,-5.377778,-1.733333,1.111111,-0.222222,0.750000,3.300000
1,0,-5.377778,0.266667,1.111111,-0.222222,0.750000,3.300000
2,1,-3.587778,-0.711111,-0.222222,0.222222,0.750000,3.300000
0,0,-5.266667,-1.755556,1.111111,-0.222222,0.750000,3.400000
1,0,-5.266667,0.244444,1.111111,-0.222222,0.750000,3.400000
2,1,-3.565556,-0.777778,0.222222,-0.666667,0.750000,3.400000
0,0,-5.244444,-1.777778,0.222222,-0.222222,0.750000,3.500000
1,0,-5.155556,0.222222,1.111111,-0.222222,0.750000,3.500000
2,1,-3.543333,-0.755556,0.222222,0.222222,0.750000,3.500000
0,0,-5.177778,-1.800000,0.666667,-0.222222,0.750000,3.600000
1,0,-5.044444,0.288889,1.111111,0.666667,0.750000,3.600000
2,1,-3.521111,-0.822222,0.222222,-0.666667,0.750000,3.600000
0,0,-5.155556,-1.822222,0.222222,-0.222222,0.750000,3.700000
1,0,-4.933333,0.311111,1.111111,0.222222,0.750000,3.700000
2,1,-3.543333,-0.844444,-0.222222,-0.222222,0.750000,3.700000
0,0,-5.088889,-1.888889,0.666667,-0.666667,0.750000,3.800000
1,0,-4.822222,0.333333,1.111111,0.222222,0.750000,3.800000
2,1,-3.565556,-0.866667,-0.222222,-0.222222,0.750000,3.800000
0,0,-5.022222,-1.955556,0.666667,-0.666667,0.750000,3.900000
1,0,-4.711111,0.355556,1.111111,0.222222,0.750000,3.900000
2,1,-3.587778,-0.888889,-0.222222,-0.222222,0.750000,3.900000
0,0,-4.955556,-2.022222,0.666667,-0.666667,0.750000,4.000000
1,0,-4.600000,0.377778,1.111111,0.222222,0.750000,4.000000
2,1,-3.610000,-0.911111,-0.222222,-0.222222,0.750000,4.000000
0,0,-4.888889,-2.088889,0.666667,-0.666667,0.750000,4.100000
1,0,-4.488889,0.400000,1.111111,0.222222,0.750000,4.100000
2,1,-3.632222,-0.933333,-0.222222,-0.222222,0.750000,4.100000
0,0,-4.822222,-2.155556,0.666667,-0.666667,0.750000,4.200000
1,0,-4.377778,0.422222,1.111111,0.222222,0.750000,4.200000
2,1,-3.698889,-0.955556,-0.666667,-0.222222,0.750000,4.200000
0,0,-4.800000,-2.222222,0.222222,-0.666667,0.750000,4.300000
1,0,-4.266667,0.444444,1.111111,0.222222,0.750000,4.300000
2,1,-3.765556,-0.977778,-0.666667,-0.222222,0.750000,4.300000
0,0,-4.733333,-2.288889,0.666667,-0.666667,0.750000,4.400000
1,0,-4.155556,0.466667,1.111111,0.222222,0.750000,4.400000
2,1,-3.832222,-1.000000,-0.666667,-0.222222,0.750000,4.400000
0,0,-4.666667,-2.355556,0.666667,-0.666667,0.750000,4.500000
1,0,-4.044444,0.488889,1.111111,0.222222,0.750000,4.500000
2,1,-3.943333,-1.022222,-1.111111,-0.222222,0.750000,4.500000
0,0,-4.555556,-2.466667,1.111111,-1.111111,0.750000,4.600000
1,0,-3.933333,0.511111,1.111111,0.222222,0.750000,4.600000
2,1,-4.054444,-1.044444,-1.111111,-0.222222,0.750000,4.600000
0,0,-4.488889,-2.533333,0.666667,-0.666667,0.750000,4.700000
1,0,-3.822222,0.533333,1.111111,0.222222,0.750000,4.700000
2,1,-4.165556,-1.066667,-1.111111,-0.222222,0.750000,4.700000
0,0,-4.377778,-2.600000,1.111111,-0.666667,0.750000,4.800000
1,0,-3.711111,0.555556,1.111111,0.222222,0.750000,4.800000
